preprocessing,k1,b,category,rank,query,cran_id,AP@all_vector,AP@all_bm25,dAP@all,P@10_vector,P@10_bm25,n_relevant,n_terms,text
raw,0.5,0,bm25_better,1,167,253,0.1125,0.5833,+0.4708,0.10,0.20,2,21,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
raw,0.5,0,bm25_better,2,95,143,0.2121,0.6429,+0.4307,0.10,0.20,2,10,"what is the theoretical heat transfer distribution around a hemisphere"
raw,0.5,0,bm25_better,3,143,213,0.1268,0.5455,+0.4186,0.10,0.10,2,13,"what general solutions for the stresses in pressurized shells of revolution are available"
raw,0.5,0,bm25_better,4,150,223,0.5833,1.0000,+0.4167,0.20,0.20,2,13,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
raw,0.5,0,bm25_better,5,173,264,0.6111,1.0000,+0.3889,0.20,0.20,2,14,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
raw,0.5,0,bm25_better,6,81,126,0.1603,0.5357,+0.3755,0.10,0.10,2,13,"what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel"
raw,0.5,0,bm25_better,7,223,356,0.3241,0.6667,+0.3425,0.10,0.40,4,10,"papers on shear buckling of unstiffened rectangular plates under shear"
raw,0.5,0,bm25_better,8,164,250,0.3265,0.5790,+0.2525,0.30,0.50,8,8,"what determines the onset of shock-induced boundary-layer separation"
raw,0.5,0,bm25_better,9,61,102,0.2054,0.4534,+0.2480,0.20,0.20,5,15,"does there exist a closed-form expression for the local heat transfer around a yawed cylinder"
raw,0.5,0,bm25_better,10,200,304,0.2340,0.4704,+0.2363,0.10,0.20,3,21,"are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells or must we resort to numerical methods"
raw,0.5,0,vector_better,1,52,87,0.8611,0.1252,-0.7359,0.40,0.10,4,19,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
raw,0.5,0,vector_better,2,67,108,0.6481,0.1304,-0.5177,0.80,0.10,14,17,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
raw,0.5,0,vector_better,3,17,32,0.5118,0.0405,-0.4712,0.10,0.00,2,20,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
raw,0.5,0,vector_better,4,144,214,0.7519,0.3001,-0.4518,0.50,0.40,6,33,"can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness"
raw,0.5,0,vector_better,5,77,120,0.7338,0.3204,-0.4134,0.50,0.30,6,20,"how close is the comparison of the shock layer theory with existing experiments in the low reynolds number merged-layer regime"
raw,0.5,0,vector_better,6,146,216,0.7500,0.3750,-0.3750,0.20,0.20,2,18,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
raw,0.5,0,vector_better,7,197,300,0.7917,0.4365,-0.3552,0.30,0.20,3,10,"how is fatigue damage estimated using the normal long-hand method"
raw,0.5,0,vector_better,8,64,105,0.3750,0.0233,-0.3517,0.20,0.00,2,27,"cant the static deflection shapes be used in predicting flutter in place of vibrational shapes if so can we provide a justification by means of an example"
raw,0.5,0,vector_better,9,177,268,0.5761,0.2272,-0.3489,0.30,0.30,5,14,"what mode of stalling can be expected for each stage of an axial compressor"
raw,0.5,0,vector_better,10,155,230,0.4656,0.1206,-0.3450,0.30,0.10,6,8,"technical report on measurement of ablation during flight"
raw,0.5,0,both_poor,1,31,56,0.0007,0.0007,+0.0000,0.00,0.00,1,23,"what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio"
raw,0.5,0,both_poor,2,142,212,0.0013,0.0013,-0.0000,0.00,0.00,1,14,"what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels"
raw,0.5,0,both_poor,3,28,53,0.0018,0.0015,-0.0003,0.00,0.00,2,10,"what application has the linear theory design of curved wings"
raw,0.5,0,both_poor,4,22,40,0.0018,0.0016,-0.0003,0.00,0.00,1,24,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
raw,0.5,0,both_poor,5,44,79,0.0024,0.0021,-0.0003,0.00,0.00,3,13,"what are the details of the rigorous kinetic theory of gases chapman-enskog theory"
raw,0.5,0,both_poor,6,216,340,0.0025,0.0024,-0.0001,0.00,0.00,1,19,"what investigations have been made of the wave system created by a static pressure distribution over a liquid surface"
