preprocessing,k1,query,cran_id,AP@all_b0,AP@all_b0.75,AP@all_b1,spread,rel_len_ratio,top10_overlap_b0_b1,n_terms,n_relevant,text
raw,0.5,150,223,1.0000,0.5833,0.5833,0.4167,1.138,9,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
raw,0.5,67,108,0.1304,0.3209,0.4293,0.2989,0.612,4,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
raw,0.5,146,216,0.3750,0.6667,0.6667,0.2917,0.343,7,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
raw,0.5,52,87,0.1252,0.2895,0.3907,0.2655,0.539,6,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
raw,0.5,170,257,0.2006,0.4110,0.4602,0.2596,0.691,7,30,6,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be - a significantly different from those formerly specified b wildly variable at low reynolds numbers"
raw,0.5,167,253,0.5833,0.4500,0.3333,0.2500,1.751,7,21,2,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
raw,0.5,43,74,0.3109,0.5548,0.5559,0.2450,0.788,7,17,6,"can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way"
raw,0.5,223,356,0.6667,0.4893,0.4271,0.2396,1.287,6,10,4,"papers on shear buckling of unstiffened rectangular plates under shear"
raw,0.5,136,205,0.2569,0.4833,0.4474,0.2264,0.661,9,14,3,"what are the results for the creep buckling of round tubes under external pressure"
raw,0.5,24,49,0.2256,0.2810,0.4317,0.2061,0.994,7,14,3,"what are the factors which influence the time required to invert large structural matrices"
raw,1.2,67,108,0.1439,0.5168,0.5852,0.4413,0.612,4,17,14,"can series expansions be found for the boundary layer on a flat plate in a shear flow"
raw,1.2,150,223,1.0000,0.5833,0.5833,0.4167,1.138,7,13,2,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
raw,1.2,146,216,0.2500,0.6667,0.6667,0.4167,0.343,7,18,2,"does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted"
raw,1.2,52,87,0.1615,0.4223,0.5667,0.4051,0.539,5,19,4,"what is the available information pertaining to the effect of slight rarefaction on boundary layer flows the slip effect"
