preprocessing,model,k1,b,query,rank,doc,score,grade
raw,vector,,,1,1,13,0.216148,4
raw,vector,,,1,2,486,0.158406,0
raw,vector,,,1,3,12,0.126806,3
raw,vector,,,1,4,51,0.113313,3
raw,vector,,,1,5,184,0.113096,2
raw,vector,,,1,6,1268,0.112384,0
raw,vector,,,1,7,878,0.111745,0
raw,vector,,,1,8,665,0.108954,0
raw,vector,,,1,9,875,0.103725,2
raw,vector,,,1,10,746,0.100409,0
raw,vector,,,1,11,332,0.093326,0
raw,vector,,,1,12,1361,0.089844,0
raw,vector,,,1,13,327,0.082614,0
raw,vector,,,1,14,435,0.082230,0
raw,vector,,,1,15,1304,0.081550,0
raw,vector,,,1,16,180,0.081479,0
raw,vector,,,1,17,35,0.080657,0
raw,vector,,,1,18,251,0.079336,0
raw,vector,,,1,19,14,0.079150,4
raw,vector,,,1,20,573,0.078801,0
raw,vector,,,1,21,154,0.076575,0
raw,vector,,,1,22,540,0.076475,0
raw,vector,,,1,23,404,0.074943,0
raw,vector,,,1,24,141,0.074864,0
raw,vector,,,1,25,747,0.074722,0
raw,vector,,,1,26,158,0.073461,0
raw,vector,,,1,27,359,0.072940,0
raw,vector,,,1,28,792,0.072858,0
raw,vector,,,1,29,880,0.072520,3
raw,vector,,,1,30,36,0.071479,0
raw,vector,,,1,31,1362,0.069810,0
raw,vector,,,1,32,1178,0.069375,0
raw,vector,,,1,33,28,0.069238,0
raw,vector,,,1,34,1144,0.068915,0
raw,vector,,,1,35,1186,0.068589,0
raw,vector,,,1,36,429,0.068181,0
raw,vector,,,1,37,1072,0.067058,0
raw,vector,,,1,38,284,0.066462,0
raw,vector,,,1,39,172,0.065721,0
raw,vector,,,1,40,552,0.065297,0
raw,vector,,,1,41,25,0.065011,0
raw,vector,,,1,42,1365,0.064316,0
raw,vector,,,1,43,685,0.062177,0
raw,vector,,,1,44,1254,0.061763,0
raw,vector,,,1,45,236,0.061542,0
raw,vector,,,1,46,370,0.061123,0
raw,vector,,,1,47,78,0.060769,0
raw,vector,,,1,48,584,0.059944,0
raw,vector,,,1,49,781,0.058567,0
raw,vector,,,1,50,407,0.058017,0
raw,vector,,,1,51,252,0.057915,0
raw,vector,,,1,52,1079,0.057299,0
raw,vector,,,1,53,686,0.057193,0
raw,vector,,,1,54,56,0.056818,3
raw,vector,,,1,55,102,0.056385,3
raw,vector,,,1,56,663,0.056295,0
raw,vector,,,1,57,817,0.056226,0
raw,vector,,,1,58,329,0.055898,0
raw,vector,,,1,59,509,0.055844,0
raw,vector,,,1,60,960,0.055372,0
raw,vector,,,1,61,57,0.054403,2
raw,vector,,,1,62,1169,0.054136,0
raw,vector,,,1,63,104,0.054051,0
raw,vector,,,1,64,232,0.054041,0
raw,vector,,,1,65,726,0.052028,0
raw,vector,,,1,66,283,0.051761,0
raw,vector,,,1,67,526,0.051705,0
raw,vector,,,1,68,1298,0.051455,0
raw,vector,,,1,69,758,0.051392,0
raw,vector,,,1,70,1111,0.051283,0
raw,vector,,,1,71,1191,0.051217,0
raw,vector,,,1,72,117,0.051003,0
raw,vector,,,1,73,29,0.050905,2
raw,vector,,,1,74,1074,0.050817,0
raw,vector,,,1,75,42,0.050660,0
raw,vector,,,1,76,577,0.050474,0
raw,vector,,,1,77,884,0.050257,0
raw,vector,,,1,78,801,0.050066,0
raw,vector,,,1,79,374,0.049964,0
raw,vector,,,1,80,755,0.048683,0
raw,vector,,,1,81,253,0.048488,0
raw,vector,,,1,82,311,0.048243,0
raw,vector,,,1,83,195,0.048198,4
raw,vector,,,1,84,893,0.047890,0
raw,vector,,,1,85,62,0.047350,0
raw,vector,,,1,86,260,0.047158,0
raw,vector,,,1,87,390,0.046971,0
raw,vector,,,1,88,1155,0.046783,0
raw,vector,,,1,89,456,0.046433,0
raw,vector,,,1,90,1332,0.046170,0
raw,vector,,,1,91,349,0.046149,0
raw,vector,,,1,92,789,0.046043,0
raw,vector,,,1,93,513,0.045701,0
raw,vector,,,1,94,1311,0.045626,0
raw,vector,,,1,95,1068,0.045438,0
raw,vector,,,1,96,494,0.045351,0
raw,vector,,,1,97,888,0.045302,0
raw,vector,,,1,98,914,0.045174,0
raw,vector,,,1,99,378,0.044936,2
raw,vector,,,1,100,52,0.044360,4
raw,vector,,,2,1,12,0.300402,1
raw,vector,,,2,2,746,0.189161,1
raw,vector,,,2,3,51,0.171653,3
raw,vector,,,2,4,884,0.167772,0
raw,vector,,,2,5,875,0.156880,0
raw,vector,,,2,6,726,0.123459,0
raw,vector,,,2,7,14,0.122577,4
raw,vector,,,2,8,792,0.119360,0
raw,vector,,,2,9,429,0.118868,0
raw,vector,,,2,10,36,0.112040,0
raw,vector,,,2,11,883,0.110074,0
raw,vector,,,2,12,781,0.109333,0
raw,vector,,,2,13,1169,0.106135,0
raw,vector,,,2,14,251,0.105665,0
raw,vector,,,2,15,724,0.103915,0
raw,vector,,,2,16,141,0.100519,0
raw,vector,,,2,17,606,0.100289,0
raw,vector,,,2,18,1158,0.100234,0
raw,vector,,,2,19,729,0.097025,0
raw,vector,,,2,20,1042,0.093817,0
raw,vector,,,2,21,172,0.090884,0
raw,vector,,,2,22,747,0.090503,0
raw,vector,,,2,23,47,0.089222,0
raw,vector,,,2,24,833,0.088817,0
raw,vector,,,2,25,878,0.088310,0
raw,vector,,,2,26,700,0.087842,0
raw,vector,,,2,27,650,0.085692,0
raw,vector,,,2,28,607,0.085308,0
raw,vector,,,2,29,1089,0.084524,0
raw,vector,,,2,30,1263,0.084247,0
raw,vector,,,2,31,1170,0.082055,0
raw,vector,,,2,32,78,0.081802,0
raw,vector,,,2,33,579,0.080439,0
raw,vector,,,2,34,810,0.079225,0
raw,vector,,,2,35,253,0.078956,0
raw,vector,,,2,36,100,0.077406,0
raw,vector,,,2,37,284,0.076961,0
raw,vector,,,2,38,1163,0.076410,0
raw,vector,,,2,39,1320,0.076336,0
raw,vector,,,2,40,1079,0.074814,0
raw,vector,,,2,41,28,0.072161,0
raw,vector,,,2,42,1361,0.070841,0
raw,vector,,,2,43,75,0.070161,0
raw,vector,,,2,44,1111,0.068817,0
raw,vector,,,2,45,846,0.068142,0
raw,vector,,,2,46,117,0.066589,0
raw,vector,,,2,47,908,0.066111,0
raw,vector,,,2,48,876,0.065738,0
raw,vector,,,2,49,1217,0.065705,0
raw,vector,,,2,50,236,0.064961,0
raw,vector,,,2,51,1379,0.063863,0
raw,vector,,,2,52,896,0.062902,0
raw,vector,,,2,53,390,0.062858,3
raw,vector,,,2,54,893,0.061527,0
raw,vector,,,2,55,712,0.061500,0
raw,vector,,,2,56,102,0.061326,3
raw,vector,,,2,57,1332,0.061065,0
raw,vector,,,2,58,1068,0.060848,0
raw,vector,,,2,59,288,0.060794,0
raw,vector,,,2,60,1147,0.060303,0
raw,vector,,,2,61,29,0.060243,0
raw,vector,,,2,62,840,0.060214,0
raw,vector,,,2,63,728,0.060149,0
raw,vector,,,2,64,378,0.059863,0
raw,vector,,,2,65,804,0.059411,0
raw,vector,,,2,66,1299,0.058246,0
raw,vector,,,2,67,836,0.058120,0
raw,vector,,,2,68,52,0.057713,4
raw,vector,,,2,69,672,0.057609,0
raw,vector,,,2,70,1015,0.057474,0
raw,vector,,,2,71,1334,0.057321,0
raw,vector,,,2,72,42,0.057262,0
raw,vector,,,2,73,1072,0.056244,0
raw,vector,,,2,74,593,0.056125,0
raw,vector,,,2,75,58,0.054960,0
raw,vector,,,2,76,1303,0.054793,0
raw,vector,,,2,77,285,0.054401,3
raw,vector,,,2,78,722,0.054265,0
raw,vector,,,2,79,364,0.053392,0
raw,vector,,,2,80,805,0.053016,0
raw,vector,,,2,81,1309,0.052528,0
raw,vector,,,2,82,880,0.052360,0
raw,vector,,,2,83,486,0.052145,0
raw,vector,,,2,84,374,0.051824,0
raw,vector,,,2,85,756,0.051682,0
raw,vector,,,2,86,1144,0.051139,0
raw,vector,,,2,87,415,0.050452,0
raw,vector,,,2,88,1295,0.050357,0
raw,vector,,,2,89,280,0.050336,0
raw,vector,,,2,90,33,0.049957,0
raw,vector,,,2,91,1380,0.049297,0
raw,vector,,,2,92,76,0.048968,0
raw,vector,,,2,93,1167,0.048624,0
raw,vector,,,2,94,828,0.048416,0
raw,vector,,,2,95,114,0.048380,0
raw,vector,,,2,96,453,0.048282,0
raw,vector,,,2,97,658,0.048113,3
raw,vector,,,2,98,997,0.047874,0
raw,vector,,,2,99,1168,0.047785,0
raw,vector,,,2,100,1197,0.046554,0
raw,vector,,,3,1,5,0.337734,3
raw,vector,,,3,2,399,0.298703,3
raw,vector,,,3,3,485,0.296696,0
raw,vector,,,3,4,181,0.236298,3
raw,vector,,,3,5,144,0.224196,3
raw,vector,,,3,6,542,0.142959,0
raw,vector,,,3,7,90,0.138895,3
raw,vector,,,3,8,251,0.102120,0
raw,vector,,,3,9,826,0.100763,0
raw,vector,,,3,10,582,0.098027,0
raw,vector,,,3,11,91,0.096138,3
raw,vector,,,3,12,828,0.095719,0
raw,vector,,,3,13,584,0.092517,0
raw,vector,,,3,14,1072,0.092405,0
raw,vector,,,3,15,579,0.086752,0
raw,vector,,,3,16,586,0.085840,0
raw,vector,,,3,17,422,0.081717,0
raw,vector,,,3,18,547,0.078650,0
raw,vector,,,3,19,119,0.077882,3
raw,vector,,,3,20,666,0.076503,0
raw,vector,,,3,21,95,0.075990,0
raw,vector,,,3,22,707,0.075064,0
raw,vector,,,3,23,803,0.070788,0
raw,vector,,,3,24,350,0.070708,0
raw,vector,,,3,25,509,0.070143,0
raw,vector,,,3,26,785,0.069596,0
raw,vector,,,3,27,387,0.069115,0
raw,vector,,,3,28,425,0.068920,0
raw,vector,,,3,29,1370,0.068867,0
raw,vector,,,3,30,980,0.068061,0
raw,vector,,,3,31,893,0.065357,0
raw,vector,,,3,32,36,0.065058,0
raw,vector,,,3,33,944,0.064912,0
raw,vector,,,3,34,978,0.064837,0
raw,vector,,,3,35,28,0.064794,0
raw,vector,,,3,36,72,0.063828,0
raw,vector,,,3,37,585,0.063564,0
raw,vector,,,3,38,623,0.063520,0
raw,vector,,,3,39,1079,0.062915,0
raw,vector,,,3,40,587,0.062462,0
raw,vector,,,3,41,1068,0.061668,0
raw,vector,,,3,42,329,0.060623,0
raw,vector,,,3,43,1295,0.060396,0
raw,vector,,,3,44,811,0.060230,0
raw,vector,,,3,45,1302,0.060218,0
raw,vector,,,3,46,541,0.058633,0
raw,vector,,,3,47,42,0.058244,0
raw,vector,,,3,48,656,0.057745,0
raw,vector,,,3,49,266,0.057387,0
raw,vector,,,3,50,299,0.057143,0
raw,vector,,,3,51,398,0.057073,0
raw,vector,,,3,52,117,0.055916,0
raw,vector,,,3,53,1222,0.055664,0
raw,vector,,,3,54,486,0.054927,0
raw,vector,,,3,55,861,0.053788,0
raw,vector,,,3,56,546,0.053638,0
raw,vector,,,3,57,872,0.052910,0
raw,vector,,,3,58,281,0.052597,0
raw,vector,,,3,59,1245,0.052572,0
raw,vector,,,3,60,1108,0.052318,0
raw,vector,,,3,61,518,0.051886,0
raw,vector,,,3,62,381,0.051652,0
raw,vector,,,3,63,1207,0.050705,0
raw,vector,,,3,64,1141,0.048386,0
raw,vector,,,3,65,344,0.047768,0
raw,vector,,,3,66,1185,0.047075,0
raw,vector,,,3,67,1389,0.046855,0
raw,vector,,,3,68,982,0.046798,0
raw,vector,,,3,69,792,0.045413,0
raw,vector,,,3,70,1375,0.045186,0
raw,vector,,,3,71,236,0.045127,0
raw,vector,,,3,72,1392,0.045079,0
raw,vector,,,3,73,364,0.045017,0
raw,vector,,,3,74,30,0.044808,0
raw,vector,,,3,75,963,0.044734,0
raw,vector,,,3,76,1183,0.044702,0
raw,vector,,,3,77,240,0.044444,0
raw,vector,,,3,78,459,0.043614,0
raw,vector,,,3,79,830,0.043144,0
raw,vector,,,3,80,99,0.042992,0
raw,vector,,,3,81,328,0.042949,0
raw,vector,,,3,82,378,0.042914,0
raw,vector,,,3,83,131,0.042586,0
raw,vector,,,3,84,719,0.041873,0
raw,vector,,,3,85,1282,0.041860,0
raw,vector,,,3,86,169,0.041664,0
raw,vector,,,3,87,285,0.041541,0
raw,vector,,,3,88,276,0.041211,0
raw,vector,,,3,89,262,0.041185,0
raw,vector,,,3,90,746,0.041074,0
raw,vector,,,3,91,316,0.040995,0
raw,vector,,,3,92,1053,0.040868,0
raw,vector,,,3,93,77,0.040306,0
raw,vector,,,3,94,730,0.040059,0
raw,vector,,,3,95,1268,0.039699,0
raw,vector,,,3,96,983,0.039489,0
raw,vector,,,3,97,347,0.039357,0
raw,vector,,,3,98,175,0.039290,0
raw,vector,,,3,99,802,0.038934,0
raw,vector,,,3,100,37,0.038709,0
raw,vector,,,4,1,166,0.200879,3
raw,vector,,,4,2,1275,0.152511,0
