preprocessing,k1,b,ranked_by,direction,position,query,cran_id,AP@all_vector,AP@all_bm25,AP@10_vector,AP@10_bm25,P@10_vector,P@10_bm25,R@10_vector,R@10_bm25,F1@10_vector,F1@10_bm25,RR_vector,RR_bm25,NDCG@10_vector,NDCG@10_bm25,n_terms,n_relevant,rel_len_ratio,text
stopwords+stemming,1.2,0.75,AP@all,bm25_better,1,173,264,0.5833,1.0000,0.5833,1.0000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.6934,1.0000,9,2,0.541,"references on lyapunovs method on the stability of linear differential equations with periodic coefficients"
stopwords+stemming,1.2,0.75,AP@all,bm25_better,2,143,213,0.2436,0.6250,0.1667,0.6250,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.3333,1.0000,0.3066,0.8066,8,2,0.936,"what general solutions for the stresses in pressurized shells of revolution are available"
stopwords+stemming,1.2,0.75,AP@all,bm25_better,3,167,253,0.1484,0.5000,0.0714,0.5000,0.1000,0.2000,0.5000,1.0000,0.1667,0.3333,0.1429,0.5000,0.2346,0.6462,14,2,1.788,"exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment"
stopwords+stemming,1.2,0.75,AP@all,bm25_better,4,205,317,0.3611,0.7000,0.3611,0.7000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.5714,0.8503,12,2,1.542,"has anyone investigated theoretically whether surface flexibility can stabilize a laminar boundary layer"
stopwords+stemming,1.2,0.75,AP@all,bm25_better,5,15,29,0.7000,1.0000,0.7000,1.0000,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,1.0000,1.0000,0.6742,0.8597,4,2,0.766,"material properties of photoelastic materials"
stopwords+stemming,1.2,0.75,AP@all,bm25_better,6,18,33,0.0992,0.3559,0.0833,0.3333,0.1000,0.1000,0.3333,0.3333,0.1538,0.1538,0.2500,1.0000,0.2021,0.4693,8,3,1.566,"are experimental pressure distributions on bodies of revolution at angle of attack available"
stopwords+stemming,1.2,0.75,AP@all,bm25_better,7,150,223,0.5833,0.8333,0.5833,0.8333,0.2000,0.2000,1.0000,1.0000,0.3333,0.3333,0.5000,1.0000,0.6934,0.9197,9,2,1.117,"what is the magnitude of second-order wing-body interference at high supersonic mach number"
stopwords+stemming,1.2,0.75,AP@all,bm25_better,8,61,102,0.3031,0.5449,0.2524,0.4667,0.3000,0.3000,0.6000,0.6000,0.4000,0.4000,0.3333,1.0000,0.4707,0.6294,10,5,1.220,"does there exist a closed-form expression for the local heat transfer around a yawed cylinder"
stopwords+stemming,1.2,0.75,AP@all,bm25_better,9,136,205,0.2097,0.4196,0.1667,0.4000,0.1000,0.2000,0.3333,0.6667,0.1538,0.3077,0.5000,1.0000,0.4919,0.8359,9,3,0.691,"what are the results for the creep buckling of round tubes under external pressure"
stopwords+stemming,1.2,0.75,AP@all,bm25_better,10,164,250,0.3401,0.5163,0.2396,0.4750,0.3000,0.4000,0.3750,0.5000,0.3333,0.4444,0.5000,1.0000,0.4024,0.6703,6,8,1.276,"what determines the onset of shock-induced boundary-layer separation"
