query,cran_id,model,version,P@10,R@10,F1@10,AP@all,AP@10,NDCG@10,top10,text
14,27,vector,original,0.0000,0.0000,0.0000,0.0758,0.0000,0.0000,335 256 170 1364 291 345 798 973 439 570,"papers on shock-sound wave interaction"
14,27,vector,modified,0.2000,1.0000,0.3333,0.6667,0.6667,0.9407,64 335 402 256 1364 65 170 345 132 291,"shock sound wave interaction"
14,27,bm25(k1=1.2;b=0.75),original,0.1000,0.5000,0.1667,0.0707,0.0556,0.2600,170 798 439 256 335 345 1364 291 64 569,"papers on shock-sound wave interaction"
14,27,bm25(k1=1.2;b=0.75),modified,0.2000,1.0000,0.3333,0.7000,0.7000,0.9473,64 402 132 256 65 170 1364 345 296 335,"shock sound wave interaction"
35,61,vector,original,0.0000,0.0000,0.0000,0.0252,0.0000,0.0000,1208 1276 724 1203 488 75 1314 654 1327 65,"are there any papers dealing with acoustic wave propagation in reacting gases"
35,61,vector,modified,0.1000,0.3333,0.1538,0.3939,0.3333,0.5317,166 319 1327 64 296 1203 169 654 1160 1314,"sound wave propagation in reacting gases"
35,61,bm25(k1=1.2;b=0.75),original,0.0000,0.0000,0.0000,0.0206,0.0000,0.0000,488 1314 1208 1327 1244 1203 296 1389 654 65,"are there any papers dealing with acoustic wave propagation in reacting gases"
35,61,bm25(k1=1.2;b=0.75),modified,0.2000,0.6667,0.3077,0.1778,0.1778,0.2922,296 1160 1327 319 132 166 169 1203 64 1103,"sound wave propagation in reacting gases"
17,32,vector,original,0.1000,0.5000,0.1667,0.5083,0.5000,0.7039,106 498 1108 336 1301 1281 445 700 916 410,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
17,32,vector,modified,0.1000,0.5000,0.1667,0.5061,0.5000,0.7039,106 498 1281 242 372 410 326 1246 814 336,"two dimensional representation of the three-dimensional problem of a transverse potential flow about a body of revolution"
17,32,bm25(k1=1.2;b=0.75),original,0.1000,0.5000,0.1667,0.2598,0.2500,0.4441,1108 106 336 1301 700 498 445 1281 410 1255,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
17,32,bm25(k1=1.2;b=0.75),modified,0.1000,0.5000,0.1667,0.5068,0.5000,0.7039,106 1281 498 410 372 801 1108 242 1255 494,"two dimensional representation of the three-dimensional problem of a transverse potential flow about a body of revolution"
6,10,vector,original,0.1000,0.2500,0.1429,0.0500,0.0312,0.1030,491 386 775 385 472 1282 1273 257 251 798,"what theoretical and experimental guides do we have as to turbulent couette flow behaviour"
6,10,vector,modified,0.1000,0.2500,0.1429,0.0750,0.0417,0.1163,491 386 385 1273 1282 257 883 406 798 72,"guides to turbulent couette flow behaviour"
6,10,bm25(k1=1.2;b=0.75),original,0.1000,0.2500,0.1429,0.1604,0.1250,0.2061,491 257 121 315 251 798 1110 148 651 228,"what theoretical and experimental guides do we have as to turbulent couette flow behaviour"
6,10,bm25(k1=1.2;b=0.75),modified,0.1000,0.2500,0.1429,0.1712,0.1250,0.2061,491 257 386 406 798 1273 385 1282 646 72,"guides to turbulent couette flow behaviour"
22,40,vector,original,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,254 125 207 153 120 560 413 307 655 61,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
22,40,vector,modified,0.1000,1.0000,0.1818,1.0000,1.0000,1.0000,68 413 655 254 125 305 1076 120 260 628,"is skin friction sensitive to differences between air and helium simulation of viscous hypersonic flow with temperature"
22,40,bm25(k1=1.2;b=0.75),original,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125 560 413 307 120 254 962 61 348 207,"did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature"
22,40,bm25(k1=1.2;b=0.75),modified,0.1000,1.0000,0.1818,1.0000,1.0000,1.0000,68 413 625 305 125 1230 481 1007 307 1355,"is skin friction sensitive to differences between air and helium simulation of viscous hypersonic flow with temperature"
