query,cran_id,n_terms,n_relevant,AP_vector,P10_vector,AP_bm25,P10_bm25,dAP,text
1,1,15,28,0.2061,0.30,0.1831,0.20,-0.0230,"what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft"
2,2,14,24,0.2045,0.40,0.1891,0.30,-0.0154,"what are the structural and aeroelastic problems associated with flight of high speed aircraft"
3,4,13,8,0.6348,0.70,0.5623,0.60,-0.0725,"what problems of heat conduction in composite slabs have been solved so far"
4,8,28,2,0.5333,0.10,0.5263,0.10,-0.0070,"can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium"
5,9,10,4,0.2083,0.20,0.3276,0.30,+0.1193,"what chemical kinetic system is applicable to hypersonic aerodynamic problems"
6,10,14,4,0.0500,0.10,0.1604,0.10,+0.1104,"what theoretical and experimental guides do we have as to turbulent couette flow behaviour"
7,12,32,5,0.2578,0.20,0.2596,0.20,+0.0018,"is it possible to relate the available pressure distributions for an ogive forebody at zero angle of attack to the lower surface pressures of an equivalent ogive forebody at angle of attack"
8,13,18,11,0.1217,0.10,0.1662,0.10,+0.0445,"what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack"
9,15,8,3,0.4765,0.20,0.3604,0.20,-0.1161,"papers on internal slip flow heat transfer studies"
10,18,15,8,0.1988,0.30,0.2739,0.30,+0.0750,"are real-gas transport properties for air available over a wide range of enthalpies and densities"
11,22,19,7,0.1363,0.10,0.1643,0.20,+0.0279,"is it possible to find an analytical similar solution of the strong blast wave problem in the newtonian approximation"
12,23,13,5,0.1382,0.20,0.0962,0.10,-0.0420,"how can the aerodynamic performance of channel flow ground effect machines be calculated"
13,26,10,4,0.0000,0.00,0.0000,0.00,+0.0000,"what is the basic mechanism of the transonic aileron buzz"
14,27,5,2,0.0758,0.00,0.0707,0.10,-0.0051,"papers on shock-sound wave interaction"
15,29,5,2,0.7000,0.20,1.0000,0.20,+0.3000,"material properties of photoelastic materials"
16,31,17,3,0.2001,0.10,0.2359,0.20,+0.0358,"can the transverse potential flow about a body of revolution be calculated efficiently by an electronic computer"
17,32,20,2,0.5083,0.10,0.2598,0.10,-0.2485,"can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem"
18,33,13,3,0.0992,0.10,0.3559,0.10,+0.2567,"are experimental pressure distributions on bodies of revolution at angle of attack available"
19,34,22,9,0.0258,0.10,0.0192,0.00,-0.0067,"does there exist a good basic treatment of the dynamics of re-entry combining consideration of realistic effects with relative simplicity of results"
